orth phon sense pos gender asp dic_name usg etym_lang
бодибилдинг БОДИБ'ИЛДИНГ " Искусство формирования своего тела; культуризм. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бой БОЙ " к Бить и Биться. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бой БОЙ " Вооружённое столкновение воюющих сторон; битва. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бой БОЙ " Состязание, поединок. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бой БОЙ " Борьба, действия, направленные на достижение или искоренение чего-л. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бой БОЙ " Бурный обмен мнениями, ожесточённый спор; скандал, ссора. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бой БОЙ " Звуки, производимые дробными ударами чего-л. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бой БОЙ " Осколки чего-л. разбитого или раздробленного " сущ. м. None "Толковый словарь Кузнецова" None англ.
бой БОЙ " мальчик-рассыльный в гостинице, магазине и т.п.; молодой слуга-туземец. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бойкот БОЙК'ОТ " Полное или частичное прекращение отношений с кем-л. в знак несогласия с чем-л., протеста против чего-л. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бойлер Б'ОЙЛЕР " Устройство для подогрева воды в системе снабжения теплом и горячей водой. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бойскаутизм БОЙСКАУТ'ИЗМ " Разновидность скаутизма: движение юношей-скаутов. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бокс БОКС " кулачный бой между двумя спортсменами в защитных перчатках, ведущийся на ринге по определённым правилам; вид спорта. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бокс БОКС " Мужская причёска с коротко подстриженными или выбритыми волосами на висках и затылке. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бокс БОКС " Помещение в поликлиниках, больницах и т.п. для изоляции инфекционных больных или выявления бациллоносителей. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бокс БОКС " = Гараж. " сущ. м. None "Толковый словарь Кузнецова" None англ.
боксёр БОКСЁР " Спортсмен, занимающийся боксом " сущ. м. None "Толковый словарь Кузнецова" None англ.
боксёр БОКСЁР " Порода короткошёрстых сильных собак с тупой мордой и широкой грудью; собака такой породы. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бол Б'ОЛ " спортивная игра с мячом. " сущ. м. None "Толковый словарь Кузнецова" None англ.
босс БОСС " хозяин или глава предприятия, учреждения, предприниматель. " сущ. м. None "Толковый словарь Кузнецова" None англ.
босс БОСС " Лицо, возглавляющее аппарат какой-л. партии, профсоюза и т.п. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бостон БОСТ'ОН " Старинная карточная игра. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бостон БОСТ'ОН " Парный танец, разновидность медленного вальса; музыка этого танца. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бриг БРИГ " Двухмачтовое морское судно с прямыми парусами. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бридж БРИДЖ " Карточная игра. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бриджи БР'ИДЖИ " Брюки особого покроя, сужающиеся от колен и заправляющиеся обычно в сапоги " сущ. None None "Толковый словарь Кузнецова" None англ.
брифинг БР'ИФИНГ " Краткая пресс-конференция, на которой излагается позиция правительства, официального ведомства и т.п. по определённому вопросу или даётся информация о ходе международных переговоров, взглядах сторон и т.п. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бройлер БР'ОЙЛЕР " Цыплёнок, выращиваемый на мясо " сущ. м. None "Толковый словарь Кузнецова" None англ.
брокер БР'ОКЕР " Лицо или фирма, выступающие посредником при заключении сделок на бирже, действующие по поручению своих клиентов; маклер. " сущ. м. None "Толковый словарь Кузнецова" None англ.
буги-вуги Б'УГИ-В'УГИ " американский парный танец свободной композиции, исполняемый в умеренно быстром темпе " сущ. м. None "Толковый словарь Кузнецова" None англ.
букмекер БУКМ'ЕКЕР " Лицо, принимающее денежные ставки при игре в тотализатор " сущ. м. None "Толковый словарь Кузнецова" None англ.
буллит БУЛЛ'ИТ " штрафной бросок в ворота соперника. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бульдог БУЛЬД'ОГ " Порода служебных собак с тупой мордой, приплюснутым носом, широкой грудью и короткими лапами; собака этой породы. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бульдозер БУЛЬД'ОЗЕР " Съёмное приспособление у трактора или тягача в виде рамы с широким ножом для срезания, разравнивания и перемещения грунта на небольшие расстояния; трактор или тягач с таким приспособлением. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бум БУМ " Совершенно ничего " межд. None None "Толковый словарь Кузнецова" None англ.
бум БУМ " Резкое кратковременное повышение спроса на какие-л. товары, акции и т.п., сопровождающееся увеличением цен на них, ростом производства, торговли и т.п. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бум БУМ " Гимнастический снаряд - толстый брус с плоской поверхностью, укреплённый на стойках для упражнений в равновесии; бревно " сущ. м. None "Толковый словарь Кузнецова" None англ.
бунгало Б'УНГ'АЛО " лёгкая загородная жилая постройка. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
бункер Б'УНКЕР " Саморазгружающееся вместилище для сыпучих и кусковых материалов " сущ. м. None "Толковый словарь Кузнецова" None англ.
бункер Б'УНКЕР " Специальное помещение на судне для хранения рейсового запаса твёрдого топлива. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бус БУС " вид общественного транспорта. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бутсы Б'УТСЫ " Спортивная обувь для игры в футбол - ботинки с шипами или поперечными выступами на подошве, препятствующими скольжению. " None None None "Толковый словарь Кузнецова" None англ.
буфер Б'УФЕР " Приспособление для смягчения удара при соприкосновении вагонов, локомотивов и т.п. " сущ. м. None "Толковый словарь Кузнецова" None англ.
буфер Б'УФЕР " Буферное запоминающее устройство. " сущ. м. None "Толковый словарь Кузнецова" None англ.
буфер Б'УФЕР " О ком-, чём-л., ослабляющим столкновение, конфликт между двумя противоборствующими сторонами. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бушель Б'УШЕЛЬ " мера объёма жидкостей, сыпучих веществ " сущ. м. None "Толковый словарь Кузнецова" None англ.
бюджет БЮДЖ'ЕТ " (годовой срок действия бюджета государства, предприятия). " сущ. м. None "Толковый словарь Кузнецова" None англ.
вагон ВАГ'ОН " Транспортное самоходное и несамоходное средство для перевозки пассажиров и грузов по рельсовым путям. " сущ. м. None "Толковый словарь Кузнецова" None англ.
вагон ВАГ'ОН " Пассажиры этого транспортного средства. " сущ. м. None "Толковый словарь Кузнецова" None англ.
вариабельный ВАРИ'АБЕЛЬНЫЙ " Способный иметь варианты, видоизменяться в каких-л. пределах. " прил. None None "Толковый словарь Кузнецова" None англ.
ватерклозет ВАТЕРКЛОЗ'ЕТ " Уборная, туалет с канализацией. " сущ. м. None "Толковый словарь Кузнецова" None англ.
ватерпол ВАТЕРП'ОЛ " Спортивная командная игра в мяч на воде; водное поло. " сущ. м. None "Толковый словарь Кузнецова" None англ.
ватт ВАТТ " Единица измерения мощности электрического тока. " сущ. м. None "Толковый словарь Кузнецова" None англ.
вельбот ВЕЛЬБ'ОТ " Быстроходная четырёх- или восьмивёсельная мореходная шлюпка с острым носом и кормой, обычно с небольшой мачтой. " сущ. м. None "Толковый словарь Кузнецова" None англ.
вельвет ВЕЛЬВ'ЕТ " Хлопчатобумажная или синтетическая ткань с густым коротким ворсом, образующим рубчики. " сущ. м. None "Толковый словарь Кузнецова" None англ.
вестерн В'ЕСТЕРН " Литературное произведение или кинофильм, в котором описываются жизнь и приключения первых переселенцев северо-западных штатов Америки. " сущ. м. None "Толковый словарь Кузнецова" None англ.
видеоклип ВИДЕОКЛ'ИП " Короткометражный видеофильм, сопровождающий какой-л. музыкальный номер, эстрадную песню, рекламу. " сущ. м. None "Толковый словарь Кузнецова" None англ.
видеоплейер ВИДЕОПЛ'ЕЙЕР " Разновидность видеомагнитофона для воспроизведения записей с видеоплёнки; видеопроигрыватель. " сущ. м. None "Толковый словарь Кузнецова" None англ.
виндсёрфинг ВИНДСЁРФИНГ " Вид спорта - соревнование на скорость и выполнение различных маневров, трюков на виндсёрфе (виндсёрфере) при скольжении по воде. " сущ. м. None "Толковый словарь Кузнецова" None англ.
виски В'ИСКИ " Крепкий алкогольный напиток, продукт перегонки сброженного сусла из зернового сырья " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
вист ВИСТ " Карточная игра вчетвером (двумя парами) в 52 карты, заключающаяся в том, чтобы набрать как можно больше взяток. " сущ. м. None "Толковый словарь Кузнецова" None англ.
