orth phon sense pos gender asp dic_name usg etym_lang
препринт ПРЕПР'ИНТ " Часть книги, статья, опубликованная в виде отдельного оттиска до выхода всей книги в свет. " сущ. м. None "Толковый словарь Кузнецова" None англ.
пресс-бюро ПРЕСС-БЮР'О " Отдел информационного обслуживания журналистов, организуемый на время съездов, совещаний, спортивных соревнований и т.п.; пресс-центр. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
пресс-конференция ПРЕСС-КОНФЕР'ЕНЦИЯ " Встреча, беседа государственных, политических, общественных, научных деятелей с представителями прессы. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
продюсер ПРОД'ЮСЕР " Тот, кто осуществляет художественный и организационно-финансовый контроль над постановкой фильма " сущ. м. None "Толковый словарь Кузнецова" None англ.
пропеллер ПРОП'ЕЛЛЕР " Создающее силу тяги устройство в виде нескольких лопастей, вращаемых двигателем; воздушный винт. " сущ. м. None "Толковый словарь Кузнецова" None англ.
пропс ПРОПС " Лесной материал в виде круглых, очищенных от коры брёвен определённой длины. " сущ. м. None "Толковый словарь Кузнецова" None англ.
пудинг П'УДИНГ " Запеканка из муки или крупы, творога, фруктов со сладостями и приправами. " сущ. м. None "Толковый словарь Кузнецова" None англ.
пул ПУЛ " Одна из форм монополий, при которой прибыль всех участников поступает в общий фонд и затем распределяется между ними в заранее намеченной пропорции. " сущ. м. None "Толковый словарь Кузнецова" None англ.
пуловер ПУЛ'ОВЕР " без воротника и без застёжек.  " сущ. м. None "Толковый словарь Кузнецова" None англ.
пульсар ПУЛЬС'АР " Пульсирующий точечный источник космического радиоизлучения. " сущ. м. None "Толковый словарь Кузнецова" None англ.
пунш ПУНШ " Об одной порции этого напитка. " сущ. м. None "Толковый словарь Кузнецова" ласк. англ.
пушбол ПУШБ'ОЛ " Спортивная командная игра, состоящая в проталкивании большого кожаного мяча в ворота противника. " сущ. м. None "Толковый словарь Кузнецова" None англ.
радар РАД'АР " Радиолокационная станция. " сущ. м. None "Толковый словарь Кузнецова" None англ.
райграс Р'АЙГРАС " Название некоторых кормовых растений сем. злаков. " сущ. м. None "Толковый словарь Кузнецова" None англ.
ралли Р'АЛЛИ " Спортивное соревнование на специально подготовленных автомашинах или мотоциклах. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
раунд Р'АУНД " Продолжительность одной схватки в боксе; одна такая схватка. " сущ. м. None "Толковый словарь Кузнецова" None англ.
раут Р'АУТ " Торжественный званный вечер, приём " сущ. м. None "Толковый словарь Кузнецова" None англ.
реверсор РЕВ'ЕРСОР " Устройство для изменения направления вращения электродвигателей. " сущ. м. None "Толковый словарь Кузнецова" None англ.
револьвер РЕВОЛЬВ'ЕР " (токарный или сверлильный станок с вращающейся головкой, в которой закрепляются одновременно несколько режущих инструментов). " сущ. м. None "Толковый словарь Кузнецова" None англ.
регби Р'ЕГБИ " Разновидность футбола; игра в овальный мяч, который игроки имеют право брать в руки. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
реглан РЕГЛ'АН " Пальто, верхняя одежда такого покроя. " сущ. м. None "Толковый словарь Кузнецова" None англ.
резистор РЕЗ'ИСТОР " Элемент электрической цепи, предназначенный для регулирования тока и напряжения путём сопротивления " сущ. м. None "Толковый словарь Кузнецова" None англ.
рейд РЕЙД " (внутри порта). " сущ. м. None "Толковый словарь Кузнецова" воен. англ.
рейд РЕЙД " Проникновение подвижных войск или партизанских отрядов в тыл противника для разрушения мостов, железных дорог, линий связи, уничтожения складов, аэродромов и т.п. " сущ. м. None "Толковый словарь Кузнецова" воен. англ.
рейдер Р'ЕЙДЕР " Военный корабль, отдельно ведущий вдали от баз самостоятельные боевые операции, главным образом по уничтожению транспортных и торговых судов противника. " сущ. м. None "Толковый словарь Кузнецова" None англ.
рейтинг Р'ЕЙТИНГ " Показатель оценки достижений шахматиста в мировом классификационном списке, определяемый по его результатам в турнирах.  " сущ. м. None "Толковый словарь Кузнецова" спорт. англ.
рекорд РЕК'ОРД " Высший зарегестрированный показатель, достигнутый в спорте или в какой-л. трудовой деятельности. " сущ. м. None "Толковый словарь Кузнецова" None англ.
релевантный РЕЛЕВ'АНТНЫЙ " Способный служить для различения языковых единиц. " прил. None None "Толковый словарь Кузнецова" None англ.
рельс Р'ЕЛЬС " действия партизан, подрывающих вражеские поезда). " сущ. м. None "Толковый словарь Кузнецова" None англ.
ремикс РЕМ'ИКС " Новый вариант, переделка старой мелодии, песни. " сущ. м. None "Толковый словарь Кузнецова" None англ.
репортёр РЕПОРТЁР " Сотрудник газеты, журнала, радио, телевидения, пишущий или передающий репортажи. " сущ. м. None "Толковый словарь Кузнецова" None англ.
рестлинг Р'ЕСТЛИНГ " Разновидность профессиональной борьбы, использующей приёмы вольной классической борьбы и дзюдо. " сущ. м. None "Толковый словарь Кузнецова" None англ.
рефери Р'ЕФЕРИ " Судья в спортивных состязаниях. " сущ. м. None "Толковый словарь Кузнецова" None англ.
ринг РИНГ " (перестать заниматься боксом). " сущ. м. None "Толковый словарь Кузнецова" None англ.
рифли Р'ИФЛИ " Бороздки на какой-л. поверхности. " сущ. None None "Толковый словарь Кузнецова" None англ.
рифт РИФТ " Вытянутая на сотни километров впадина на земной поверхности, возникшая в результате сдвигов, растяжений земной коры. " сущ. м. None "Толковый словарь Кузнецова" None англ.
роба Р'ОБА " круг игры, состоящий из трёх партий. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
рок РОК " Судьба " сущ. м. None "Толковый словарь Кузнецова" None англ.
рок РОК " Ставшее основой молодёжной культуры второй половины 20 в. направление эстрадной музыки, исполняемой на электромузыкальных инструментах, в основе которой лежит четкий басовый ритм; рок-музыка. " сущ. м. None "Толковый словарь Кузнецова" None англ.
рок-музыка РОК-М'УЗЫКА " Ставшее основой молодёжной культуры второй половины 20 в. направление эстрадной музыки, исполняемой на электромузыкальных инструментах, в основе которой лежит четкий басовый ритм; рок " сущ. ж. None "Толковый словарь Кузнецова" None англ.
рок-н-ролл РОК-Н-Р'ОЛЛ " Зародившийся в США динамичный парный танец, отличающийся импровизацией и экспрессивностью исполнения, нарочитой небрежностью по отношению к партнёрше и т.п.; музыка к этому танцу. " сущ. м. None "Толковый словарь Кузнецова" None англ.
роллер Р'ОЛЛЕР " Спортивный снаряд с роликами для передвижения по искусственному покрытию; роликовые коньки, лыжи; самокат " сущ. м. None "Толковый словарь Кузнецова" None англ.
роллер Р'ОЛЛЕР " Тот, кто катается на самокате, роллерах. " сущ. м. None "Толковый словарь Кузнецова" None англ.
роллинг Р'ОЛЛИНГ " Катание на специальной (роллинговой) доске. " сущ. м. None "Толковый словарь Кузнецова" None англ.
ром РОМ " к Роман. " сущ. м. None "Толковый словарь Кузнецова" None англ.
ромштекс РОМШТ'ЕКС " Поджаренный в сухарях кусок говядины " сущ. м. None "Толковый словарь Кузнецова" None англ.
рост РОСТ " Под проценты. " сущ. м. None "Толковый словарь Кузнецова" None англ.
рост РОСТ " Высота человека, животного. " сущ. м. None "Толковый словарь Кузнецова" None англ.
ростер Р'ОСТЕР " Электроприбор для приготовления горячих бутербродов. " сущ. м. None "Толковый словарь Кузнецова" None англ.
ротапринт РОТАПР'ИНТ " Небольшая машина для печатания малотиражных изданий при помощи фотомеханического или электрографического копирования текста; способ такого печтания. " сущ. м. None "Толковый словарь Кузнецова" None англ.
роялти Р'ОЯЛТИ " Компенсация, выплачиваемая в течение оговоренного срока за использование авторских патентных прав, природных ресурсов и т.п. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
румб РУМБ " Деление на круге компаса, соответствующее 1/32 части горизонта, для определения положения корабля по отношению к странам света. " сущ. м. None "Толковый словарь Кузнецова" None англ.
рында Р'ЫНДА " оруженосец, телохранитель московских царей. " сущ. м. None "Толковый словарь Кузнецова" None англ.
рында Р'ЫНДА " звон колокола, производимый в полдень. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
рэкет Р'ЭКЕТ " Преступное вымогательство чужой собственности, осуществляемое путём шантажа, угроз, насилия. " сущ. м. None "Толковый словарь Кузнецова" None англ.
рэкетир РЭКЕТ'ИР " Тот, кто занимается рэкетом; вымогатель, шантажист. " сущ. м. None "Толковый словарь Кузнецова" None англ.
рэп РЭП " Декламация, речитативное исполнение стихов под ритмическую музыку. " сущ. м. None "Толковый словарь Кузнецова" None англ.
рэппер Р'ЭППЕР " Тот, кто увлекается рэпом. " сущ. м. None "Толковый словарь Кузнецова" None англ.
салун САЛ'УН " закусочная, пивной бар. " сущ. м. None "Толковый словарь Кузнецова" None англ.
саммит С'АММИТ " Конференция, совещание, собрание глав государств и правительств. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сандвич С'АНДВИЧ " Бутерброд из двух ломтиков хлеба с какой-л. прослойкой. " сущ. м. None "Толковый словарь Кузнецова" None англ.
свинг СВИНГ " боковой удар с дальнего расстояния. " сущ. м. None "Толковый словарь Кузнецова" None англ.
свинг СВИНГ " Стиль джазовой музыки, характеризующийся большим составом исполнителей с попеременным солированием и сложным, заранее написанным аккомпанементом. " сущ. м. None "Толковый словарь Кузнецова" None англ.
свингер СВ'ИНГЕР " Фасон женской верхней одежды, расклешенной от плеч, в виде куртки, пальто; изделие такого фасона. " сущ. м. None "Толковый словарь Кузнецова" None англ.
свитер СВ'ИТЕР " Тёплая вязаная фуфайка без застёжек с высоким воротником, надеваемая через голову. " сущ. м. None "Толковый словарь Кузнецова" разг. англ.
сейнер С'ЕЙНЕР " (осуществляемый с помощью сейнера). " сущ. м. None "Толковый словарь Кузнецова" None англ.
сейф С'ЕЙФ " В настоящий, в данный момент. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сейф С'ЕЙФ " В настоящее время, теперь. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сейф С'ЕЙФ " Только что " сущ. м. None "Толковый словарь Кузнецова" None англ.
сейф С'ЕЙФ " В самом скором времени, скоро " сущ. м. None "Толковый словарь Кузнецова" None англ.
сейф С'ЕЙФ " Немедленно, в тот же момент, сразу. " сущ. м. None "Толковый словарь Кузнецова" разг. англ.
сейшен СЕЙШЕН " Музыкальный концерт " сущ. м. None "Толковый словарь Кузнецова" None англ.
секс-шоп СЕКС-Ш'ОП " Магазин, торгующий эротической литературой, изделиями эротического, сексуального характера. " сущ. м. None "Толковый словарь Кузнецова" None англ.
секс-шоу СЕКС-Ш'ОУ " Театрализованное представление с эротическим, сексуальным уклоном. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
сексапильный СЕКСАП'ИЛЬНЫЙ " Возбуждающий чувственную страсть, физическое влечение. " прил. None None "Толковый словарь Кузнецова" None англ.
сенсор С'ЕНСОР " Датчик; элемент, воспринимающий прикосновение. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сервер С'ЕРВЕР " Электронное устройство, предназначенное для подключения к компьютеру других вспомогательных устройств. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сервис С'ЕРВИС " О неудовлетворительной работе такой службы, отсутствии комфортных условий для отдыха, деятельности и т.п. " сущ. м. None "Толковый словарь Кузнецова" None англ.
серво СЕРВО " вспомогательный, регулирующийся автоматически. " None None None "Толковый словарь Кузнецова" None англ.
сет СЕТ " Одна теннисная партия. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сеттер С'ЕТТЕР " Порода охотничьих длинношёрстных собак легавых с длинными висячими и лохматыми ушами; собака такой породы. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сингл СИНГЛ " Маленькая пластинка с популярными эстрадными песнями. " сущ. м. None "Толковый словарь Кузнецова" None англ.
синерама СИНЕР'АМА " Система панорамного кино, когда фильм снимается одновременно несколькими кинокамерами и демонстрируется на большом, дугообразно изогнутом экране; разновидность широкоформатного кино. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
скайтерьер СКАЙТЕРЬ'ЕР " Порода охотничьих, служебных и комнатно-декоративных собак с длинной шерстью; собака этой породы. " сущ. м. None "Толковый словарь Кузнецова" None англ.
скальп СКАЛЬП " Кожа с волосами, снятая с головы побеждённого врага " сущ. м. None "Толковый словарь Кузнецова" None англ.
сканер СК'АНЕР " Устройство для радиоизотопной диагностики. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сканирование СКАН'ИРОВАНИЕ " Непрерывное обследование, просвечивание радиолокационным лучом какого-л. пространства для обнаружения посторонних объектов. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
сканирование СКАН'ИРОВАНИЕ " Метод получения информации о состоянии какого-л. органа человека или животного на основании ввденных радиактивных веществ при помощи специального счетчика. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
скаутизм СКАУТ'ИЗМ " Распространённа система внешкольного воспитания, являющаяся основой деятельности скаутских организаций " сущ. м. None "Толковый словарь Кузнецова" None англ.
скаутинг СК'АУТИНГ " = Скаутизм. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сквер СКВЕР " Небольшой общественный сад " сущ. м. None "Толковый словарь Кузнецова" None англ.
скейтборд СКЕЙТБ'ОРД " Вид спорта - катание на специальной доске с роликами; доска для такого катания. " сущ. м. None "Толковый словарь Кузнецова" None англ.
скейтбординг СКЕЙТБ'ОРДИНГ " = Скейтборд. " сущ. м. None "Толковый словарь Кузнецова" None англ.
скейтер СК'ЕЙТЕР " Тот, кто занимается скейтбордом. " сущ. м. None "Толковый словарь Кузнецова" None англ.
скетинг-ринг СК'ЕТИНГ-РИНГ " Площадка с асфальтированным или деревянным полом для катания на роликовых коньках. " сущ. м. None "Толковый словарь Кузнецова" None англ.
скетч СКЕТЧ " Небольшая эстрадная пьеса шутливого и отсрого содержания. " сущ. м. None "Толковый словарь Кузнецова" None англ.
скип СКИП " (с помощью скипа). " сущ. м. None "Толковый словарь Кузнецова" None англ.
скиф СКИФ " Длинная узкая гоночная лодка для соревнований по академической гребле. " сущ. м. None "Толковый словарь Кузнецова" None англ.
скрининг СКР'ИНИНГ " Предварительная сортировка ядовитых веществ по степени их токсичности для последующего использования. " сущ. м. None "Толковый словарь Кузнецова" None англ.
скруббер СКР'УББЕР " Приспособление, устройство для очистки газов и промышленных ископаемых. " сущ. м. None "Толковый словарь Кузнецова" None англ.
скунс СКУНС " Мех этого животного. " сущ. м. None "Толковый словарь Кузнецова" None англ.
скутер СК'УТЕР " Одноместный спортивный глиссер с подвесным двигателем. " сущ. м. None "Толковый словарь Кузнецова" None англ.
слайд- СЛ'АЙД- " Обозначает связь со слайдом, дипозитивом. " None None None "Толковый словарь Кузнецова" None англ.
слаксы СЛ'АКСЫ " Разновидность брюк со штанинами, расширенными в бедрах и суженных внизу. " сущ. None None "Толковый словарь Кузнецова" None англ.
сленг СЛЕНГ " Речь социально или профессионально обособленной группы; жаргон. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сляб СЛЯБ " Стальная плита, служащая заготовкой для прокатки листовой стали. " сущ. м. None "Толковый словарь Кузнецова" None англ.
слябинг СЛ'ЯБИНГ " Прокатный стан для обжатия крупных стальных слитков в слябы. " сущ. м. None "Толковый словарь Кузнецова" None англ.
смог СМОГ " характерный для промышленных городов. " сущ. м. None "Толковый словарь Кузнецова" None англ.
смокинг СМ'ОКИНГ " Южное плодовое дерево с жёсткими шероховатыми, опадающими на зиму листьями; инжир, фиговое дерево. " сущ. м. None "Толковый словарь Кузнецова" None англ.
снайпер СН'АЙПЕР " Стрелок, владеющий искусство меткой стрельбы, маскировки и наблюдения. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
сноб СНОБ " о человеке, стремившийся строго следовать вкусам, манерам и т.п. ""высшего общества"" и с пренебрежением относившийся ко всему другому. " сущ. м. None "Толковый словарь Кузнецова" None англ.
соверен СОВЕР'ЕН " Английская золотая монета в один фунт стерлингов. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сопродюсер СОПРОД'ЮСЕР " Лицо, осуществляющее финансовый, технический, художественный контроль за постановкой фильма совместно с продюсером. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сопроцессор СОПРОЦ'ЕССОР " Устройство или программа ЭВМ, предназначенные для расширения возможностей выполнения операций. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спардек СПАРД'ЕК " верхняя лёгкая палуба или палуба средней надстройки на современных гражданских судах; сама такая надстройка. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спарринг СП'АРРИНГ " тренировочный бой с целью всесторонней подготовки спортсмена к соревнованию. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спид СПИД " Мотогонки на специальных треках. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спикер СП'ИКЕР " председатель палаты общин. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спин СПИН " Собственный момент количества движения элементарной частицы, атомного ядра, присущий им и определяющий их квантовые свойства. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спиннинг СП'ИННИНГ " Ужение рыбы при помощи такой снасти. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спиричуэл СП'ИРИЧУЭЛ " проникнутая настроениями трагического одиночества, лирической глубиной и поэтичностью. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спич СПИЧ " Краткая застольная приветственная речь. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сплин СПЛИН " Уныние, хандра. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спонсор СП'ОНСОР " Физическое или юридическое лицо, оказывающее финансовую поддержку кому-л. в обмен на рекламу своей деятельности, продукции и т.п. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спорт СПОРТ " Составная часть физической культуры, основанная на физических упражнениях " сущ. м. None "Толковый словарь Кузнецова" None англ.
спорт СПОРТ " спортивный. " None None None "Толковый словарь Кузнецова" None англ.
спортсмен СПОРТСМ'ЕН " Тот, кто систематически или профессионально занимается спортом. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спрей СПРЕЙ " Пульверизатор, вмонтированный во флакон духов, дезодоранта. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спринт СПР'ИНТ " Бег, плавание, катанье на коньках и т.п. на короткую дистанцию. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спринтер СПР'ИНТЕР " Спортсмен, занимающийся спринтом. " сущ. м. None "Толковый словарь Кузнецова" None англ.
спурт СПУРТ " Резкое увеличение темпа в соревнованиях по скоростным видам спорта. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стагфляция СТАГФЛ'ЯЦИЯ " Состояние экономики страны, группы стран, характеризующееся сочетанием застоя, спада производства, роста безработицы и инфляции. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
стайер СТ'АЙЕР " на длинные дистанции. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стакер СТ'АКЕР " для перемещения и укладывания в штабеля лесоматериалов, руды, угля и т.п. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сталкер СТ'АЛКЕР " Первопроходец, первооткрыватель " сущ. м. None "Толковый словарь Кузнецова" None англ.
стандарт СТАНД'АРТ " Типовой образец, которому должны удовлетворять вещи, предметы, явления по размерам, форме, качеству. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стандарт СТАНД'АРТ " Единая типовая форма организации, осуществления чего-л. " сущ. м. None "Толковый словарь Кузнецова" None англ.
старт СТАРТ " Начальный, после определённого сигнала, момент спортивного состязания " сущ. м. None "Толковый словарь Кузнецова" None англ.
старт СТАРТ " Момент взлёта летательного аппарата " сущ. м. None "Толковый словарь Кузнецова" None англ.
старт СТАРТ " Место, с которого начинается состязание по преодолению какого-л. расстояния. " сущ. м. None "Толковый словарь Кузнецова" None англ.
старт СТАРТ " Место, с которого производится взлёт летательного аппарата. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стартер СТ'АРТЕР " Тот, кто даёт сигнал старта " сущ. м. None "Толковый словарь Кузнецова" None англ.
стартер СТ'АРТЕР " Электрическое устройство для пуска двигателя внутреннего сгорания. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стек СТЕК " Тонкая палочка с ременной петлёй на конце, применяемая как хлыст при верховой езде. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стерлинг СТ'ЕРЛИНГ " Основная денежная единица в Англии, равная 100 пенсам. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стивидор СТИВИД'ОР " Лицо, ведающее погрузкой и выгрузкой судов в заграничных портах. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стило СТИЛ'О " Орудие письма; перо. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
стипль-чез СТИПЛЬ-Ч'ЕЗ " Бег или скачки с преодолением препятствий. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стоп СТОП " Команда для прекращения движения, работы; стой!, остановись! " сущ. м. None "Толковый словарь Кузнецова" None англ.
стоп СТОП " Обозначение остановки, прекращения движения, работы. " сущ. м. None "Толковый словарь Кузнецова" разг. англ.
стоп- СТОП- " Обозначает резкую остановку действия. " None None None "Толковый словарь Кузнецова" None англ.
стопор СТ'ОПОР " Приспособление для остановки или удержания в определённом положении движущихся частей механизма. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стресс СТРЕСС " Состояние напряжения организма человека или животного как защитная реакция на различные неблагоприятные факторы " сущ. м. None "Толковый словарь Кузнецова" None англ.
стресс- СТРЕСС- " Обзначает связь с нервными перегрузками, стрессом. " None None None "Толковый словарь Кузнецова" None англ.
стретч СТРЕТЧ " Разновидность эластичной ткани с рисунком в виде сцепленных друг с другом блестящих колец. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стример СТР'ИМЕР " Переносное устройство, в котором используется магнитная лента для хранения и записи больших массивов информации, обрабатываемой на ЭВМ.  " сущ. м. None "Толковый словарь Кузнецова" None англ.
стрингер СТР'ИНГЕР " Особо прочная балка, металлическая конструкция, проходящая через весь корпус корабля, самолета для придания им устойчивости и прочности. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стриптиз СТРИПТ'ИЗ " Эстрадное представление с постепенным раздеванием артистов и демонстрацией обнажённого тела или частей тела. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стриптиз СТРИПТ'ИЗ " Увеселительное заведение с таким представлением. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стриптиз СТРИПТ'ИЗ " О раздевании. " сущ. м. None "Толковый словарь Кузнецова" шутл. англ.
строп СТРОП " Канат, трос для подвешивания гондолы к дирижаблю, аэростату, для удерживания человека, груза на парашюте. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стюард СТ'ЮАРД " Официант на пассажирском морском судне или на пассажирском самолёте. " сущ. м. None "Толковый словарь Кузнецова" None англ.
стюардесса СТЮАРД'ЕССА " Служащая гражданского воздушного или морского флота, обслуживающая пассажиров самолёта, морского судна. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
суперкомпьютер СУПЕРКОМПЬ'ЮТЕР " Компьютер, относящийся к классу самых мощных и быстродействующих ЭВМ. " сущ. м. None "Толковый словарь Кузнецова" None англ.
супермаркет СУПЕРМ'АРКЕТ " магазин самообслуживания; универсам. " сущ. м. None "Толковый словарь Кузнецова" None англ.
супермен СУПЕРМ'ЕН " О человеке, который считает себя стоящим выше других. " сущ. м. None "Толковый словарь Кузнецова" разг. англ.
суперхит СУПЕРХ'ИТ " Очень популярная, модная песня. " сущ. м. None "Толковый словарь Кузнецова" None англ.
супершоу СУПЕРШ'ОУ " Представление, использующее специальные средства, приёмы для создания сильного впечатления у зрителей. " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
сэндвич С'ЭНДВИЧ " Бутерброд. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сэр СЭР " форма почтительного упоминания или обращения к мужчине " сущ. м. None "Толковый словарь Кузнецова" None англ.
сёрфер СЁРФЕР " Специальная доска для занятий сёрфингом. " сущ. м. None "Толковый словарь Кузнецова" None англ.
сёрфинг СЁРФИНГ " Доска для такого скольжения. " сущ. м. None "Толковый словарь Кузнецова" None англ.
таблоид ТАБЛ'ОИД " Газета небольшого формата со сжатым текстом и большим количеством иллюстрации " сущ. м. None "Толковый словарь Кузнецова" None англ.
тайбокс ТАЙБ'ОКС " Разновидность восточной борьбы, основанная на нанесении ударов без боксерских перчаток. " сущ. м. None "Толковый словарь Кузнецова" None англ.
тайбоксинг ТАЙБ'ОКСИНГ " = Тайбокс. " сущ. м. None "Толковый словарь Кузнецова" None англ.
тайбоксёр ТАЙБОКСЁР " Спортсмен, занимающийся тайбоксом. " сущ. м. None "Толковый словарь Кузнецова" None англ.
тайм Т'АЙМ " Часть спортивной игры с мячом, устанавливаемая по времени " сущ. м. None "Толковый словарь Кузнецова" None англ.
тайм-аут ТАЙМ-'АУТ " Перерыв в спортивной игре, матче " сущ. м. None "Толковый словарь Кузнецова" спорт. англ.
таймер Т'АЙМЕР " Прибор, служащий для отсчета заданого времени и сигнализирующий о его наступлении. " сущ. м. None "Толковый словарь Кузнецова" None англ.
тандем Т'АНДЕМ " Машина, механизм, в котором однородные устройства расположены последовательно на одной оси. " сущ. м. None "Толковый словарь Кузнецова" None англ.
танк ТАНК " (связанное с подготовкой танкистов). " сущ. м. None "Толковый словарь Кузнецова" None англ.
танк ТАНК " для хранения или транспортировки жидкостей. " сущ. м. None "Толковый словарь Кузнецова" None англ.
танкер Т'АНКЕР " О самолёте-заправщике для перевозки жидкого топлива и заправки самолётов в воздухе. " сущ. м. None "Толковый словарь Кузнецова" None англ.
танкетка ТАНК'ЕТКА " Лёгкая боевая гусеничная бронированная машина, предназначавшаяся для разведки и связи в 20-30-х гг. 20 в. " сущ. ж. None "Толковый словарь Кузнецова" None англ.
